노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,0,0,1,0,0,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,0,0,1,1,2,2,5,3,3,1,1,2,2,3,2,1,1,8,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,1,1,0,1,2,5,2,5,4,2,3,4,4,0,0,0,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,3,2,2,6,11,7,7,4,3,3,3,2,6,2,2,1,4,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,1,3,3,8,12,0,8,0,4,1,3,3,8,0,3,2,0,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,2,0,2,10,7,10,4,1,6,4,4,0,0,2,4,1,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,3,3,5,11,8,6,9,6,7,5,6,5,0,2,4,1,1,7,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,4,6,6,6,4,11,10,7,3,7,8,5,0,4,1,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,4,5,7,12,7,9,7,6,4,5,6,5,0,5,0,3,5,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,5,5,8,8,10,14,15,7,8,8,10,6,1,6,2,2,2,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,7,7,9,13,15,16,14,20,13,13,11,8,10,5,6,4,2,6,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,6,8,11,14,17,24,18,12,14,16,15,12,11,4,8,5,3,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,8,5,9,18,19,26,19,12,9,17,8,8,10,5,10,0,0,4,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,7,9,10,24,23,29,14,23,16,8,16,12,0,4,8,0,0,5,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,10,10,11,25,26,33,20,26,20,20,21,15,11,8,9,6,6,6,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,12,9,11,28,28,36,26,31,23,22,17,18,13,9,12,8,11,2,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,4,11,13,20,29,39,28,35,24,23,16,12,14,8,10,9,12,7,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,6,12,14,22,31,44,33,39,26,26,24,20,16,3,11,10,11,5,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,13,9,13,23,29,29,34,40,25,27,18,18,17,9,10,11,9,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,20,서수원터미널.이마트,0,14,8,12,22,31,43,35,39,27,17,24,19,19,10,11,10,9,3,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,21,구운사거리,0,0,6,0,0,32,44,36,0,26,11,20,0,7,0,10,11,11,0,9,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,22,삼성아파트,0,5,0,0,0,33,33,38,38,33,29,29,23,21,17,4,8,6,6,0,0,0,0,0,
