노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,0,0,1,1,1,2,1,0,0,1,0,0,2,3,2,1,0,1,0,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,3,2,3,2,3,2,2,2,1,1,1,2,5,6,2,4,2,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,1,2,5,4,4,4,2,1,0,2,2,3,5,7,2,0,3,1,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,3,4,4,7,5,5,3,4,3,2,3,7,6,0,3,0,0,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,3,6,7,8,6,0,4,3,0,0,2,3,5,0,3,0,0,0,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,6,9,11,9,8,7,5,3,3,3,2,5,4,6,0,0,2,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,7,10,12,9,8,2,4,4,4,0,2,8,6,6,4,0,1,3,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,9,12,16,14,9,8,6,5,4,1,3,9,0,2,5,0,2,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,10,7,19,14,10,11,7,4,5,3,4,3,7,3,0,1,2,4,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,13,17,27,20,13,13,8,7,2,6,6,7,8,7,7,6,4,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,14,25,41,26,16,16,13,9,7,7,11,8,9,7,6,3,1,2,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,16,30,46,38,20,11,16,10,9,7,6,12,14,8,4,7,3,5,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,19,36,34,37,21,18,17,11,5,8,13,14,16,8,5,0,5,0,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,21,38,38,40,20,11,12,11,10,0,12,12,9,10,6,3,0,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,22,40,46,44,25,21,12,16,10,11,11,15,15,13,9,10,7,9,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,27,39,51,41,31,16,19,19,15,9,19,18,16,18,11,11,5,11,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,26,44,41,44,34,22,20,13,11,13,22,19,19,19,7,6,5,11,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,31,33,56,45,38,19,21,16,12,16,23,22,23,20,9,7,4,12,0,1,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,34,33,61,46,38,22,11,17,14,17,17,25,19,21,0,12,2,4,7,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,20,서수원터미널.이마트,0,35,29,64,44,31,20,23,20,13,15,21,26,25,19,12,13,6,3,8,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,21,구운사거리,0,0,22,0,47,32,20,0,19,0,16,20,0,24,14,10,7,4,11,0,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,22,삼성아파트,0,17,36,66,49,43,21,25,22,14,19,24,32,29,32,13,14,7,8,11,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,23,성균관대학교,0,40,40,69,56,43,25,33,29,23,25,30,47,44,56,20,22,13,19,19,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,24,성균관대역.고용노동부경기지청.율전성당,0,26,41,69,53,50,33,34,29,26,36,32,54,44,60,23,21,15,14,19,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,25,백선교회,0,26,19,67,42,0,0,0,0,19,28,33,0,0,60,0,0,7,0,0,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,26,동원고교.해우재입구,0,27,42,68,42,55,32,30,29,27,37,36,55,43,50,20,22,8,18,18,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,27,효행공원(미정차),0,27,42,68,42,55,32,30,29,27,37,36,55,43,50,20,22,8,18,18,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,28,지지대고개(미정차),0,27,42,68,42,55,32,30,29,27,37,36,55,43,50,20,22,8,18,18,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,29,골사그내교차로(미정차),0,27,42,68,42,55,32,30,29,27,37,36,55,43,50,20,22,8,18,18,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,30,의왕톨게이트,0,27,39,66,49,51,35,32,28,26,28,34,49,41,52,21,18,17,15,16,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,31,의왕터널진입(미정차),0,27,39,66,49,51,35,32,28,26,28,34,49,41,52,21,18,17,15,16,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,32,학의JC(미정차),0,27,39,66,49,51,35,32,28,26,28,34,49,41,52,21,18,17,15,16,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,33,과천터널진입(미정차),0,27,39,66,49,51,35,32,28,26,28,34,49,41,52,21,18,17,15,16,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,34,과천IC(미정차),0,27,39,66,49,51,35,32,28,26,28,34,49,41,52,21,18,17,15,16,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,35,대공원고가교(미정차),0,27,39,66,49,51,35,32,28,26,28,34,49,41,52,21,18,17,15,16,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,36,과천동행정복지센터,0,39,37,42,59,49,21,31,11,14,20,30,23,47,43,0,0,16,0,15,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,37,남태령역(중),0,35,22,60,53,48,0,26,33,25,27,23,21,45,50,14,17,13,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,38,사당역(중),0,0,0,20,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,39,사당역사거리(미정차),0,0,0,20,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,3,7,15,20,17,10,23,15,17,24,43,44,57,70,65,43,44,62,68,31,15,0,0,
7800,호매실동차고지 - 호매실동차고지,41,남현동(미정차),0,3,7,15,20,17,10,23,15,17,24,43,44,57,70,65,43,44,62,68,31,15,0,0,
