노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,0,0,0,1,1,0,0,0,1,0,0,3,4,1,3,2,1,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,0,0,3,1,1,1,0,0,1,2,0,4,2,2,2,2,1,0,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,2,4,1,2,0,1,0,0,1,1,3,4,5,7,4,3,3,3,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,4,5,1,4,2,1,1,0,3,1,4,0,3,3,2,4,1,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,3,5,4,6,4,3,4,3,2,2,5,6,0,8,1,1,0,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,5,10,7,7,1,3,5,0,3,0,2,2,3,9,2,6,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,7,13,10,10,2,2,5,4,4,3,6,4,0,0,3,0,0,4,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,8,15,11,10,10,6,6,3,4,0,4,5,5,2,0,5,0,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,11,21,17,10,11,5,4,0,3,0,4,7,0,4,4,0,2,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,12,22,21,11,13,5,7,1,1,3,7,1,3,3,0,0,1,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,14,25,25,16,9,9,8,7,5,5,8,7,4,4,3,6,0,4,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,17,33,34,20,15,13,10,10,5,7,13,9,4,9,4,5,0,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,20,35,37,22,17,13,14,11,7,8,2,11,6,10,7,4,1,4,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,21,38,43,23,9,9,11,7,5,4,3,12,5,7,6,6,1,0,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,23,40,48,27,20,15,0,12,6,9,6,13,5,0,4,6,5,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,27,44,61,35,23,18,18,13,8,11,14,15,13,9,7,7,6,3,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,28,44,66,37,27,21,20,14,10,12,19,13,14,12,7,9,3,5,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,21,41,67,41,29,22,23,11,4,13,21,17,15,9,5,10,7,6,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,31,45,69,43,31,18,25,18,11,14,22,19,17,12,6,2,5,7,0,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,33,47,59,36,34,19,10,19,12,8,4,14,9,14,7,8,0,7,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,20,서수원터미널.이마트,0,34,36,60,38,35,21,13,20,14,15,10,16,12,16,8,9,6,7,4,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,21,구운사거리,0,0,39,61,44,31,22,5,18,6,0,0,0,13,8,6,7,7,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,22,삼성아파트,0,27,49,64,40,43,23,12,21,15,16,12,25,25,15,10,11,8,9,6,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,23,성균관대학교,0,35,52,69,40,49,28,29,32,24,39,29,43,40,23,16,16,21,24,18,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,24,성균관대역.고용노동부경기지청.율전성당,0,39,65,69,58,50,31,31,38,26,28,39,43,39,27,17,17,19,26,18,6,0,0,0,
7800,호매실동차고지 - 호매실동차고지,25,백선교회,0,0,35,43,56,47,15,0,17,19,0,38,20,10,21,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,26,동원고교.해우재입구,0,27,66,69,57,46,32,33,41,22,0,37,20,26,36,16,12,16,23,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,27,효행공원(미정차),0,27,66,69,57,46,32,33,41,22,0,37,20,26,36,16,12,16,23,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,28,지지대고개(미정차),0,27,66,69,57,46,32,33,41,22,0,37,20,26,36,16,12,16,23,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,29,골사그내교차로(미정차),0,27,66,69,57,46,32,33,41,22,0,37,20,26,36,16,12,16,23,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,30,의왕톨게이트,0,39,57,70,56,50,31,31,39,25,22,34,38,31,32,14,14,14,20,8,4,0,0,0,
