노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,0,0,0,2,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,0,1,2,1,2,1,2,3,4,1,1,4,8,5,2,1,1,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,2,3,3,0,2,5,4,6,2,1,5,4,6,9,3,1,1,3,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,4,4,4,4,2,6,3,3,1,0,1,5,6,0,4,3,0,5,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,5,6,8,4,4,7,4,1,3,3,0,6,7,2,0,0,2,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,3,12,10,5,4,2,5,0,1,2,2,5,0,10,6,0,2,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,6,14,14,8,5,4,6,0,2,0,2,6,0,11,7,0,0,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,7,15,15,10,7,3,9,7,0,2,1,6,7,2,1,0,3,1,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,6,19,16,11,9,5,6,4,0,2,0,8,8,12,2,0,0,2,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,8,11,21,12,11,8,4,0,2,3,2,6,9,5,0,1,0,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,11,23,27,18,14,9,9,11,4,3,3,10,11,11,0,0,3,0,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,19,34,43,21,15,13,10,12,6,5,6,13,10,10,1,2,0,4,2,1,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,23,36,44,26,22,15,11,13,5,5,6,15,6,13,2,3,3,4,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,25,39,38,25,11,11,11,11,4,5,7,6,14,12,3,4,2,5,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,27,41,45,26,25,17,10,12,6,7,5,14,15,0,4,0,0,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,30,44,63,31,28,20,15,12,10,6,11,19,17,13,7,6,4,5,5,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,36,38,70,38,36,21,16,17,12,9,11,21,24,16,3,8,7,6,7,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,37,40,39,41,38,23,17,18,13,9,11,17,14,9,4,7,8,0,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,40,49,40,43,39,24,22,17,15,11,12,15,27,14,8,9,7,6,0,4,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,42,54,69,48,36,24,17,26,11,12,8,16,26,8,5,8,6,5,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,20,서수원터미널.이마트,0,42,55,70,49,35,25,17,27,13,9,9,18,28,15,4,10,7,7,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,21,구운사거리,0,0,56,35,50,0,26,18,0,6,0,0,19,26,14,5,0,0,0,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,22,삼성아파트,0,19,60,44,50,35,29,19,30,15,14,13,24,28,16,9,11,7,10,6,9,0,0,0,
7800,호매실동차고지 - 호매실동차고지,23,성균관대학교,0,44,69,51,48,40,43,27,43,34,23,21,39,41,26,30,22,14,16,13,9,0,0,0,
7800,호매실동차고지 - 호매실동차고지,24,성균관대역.고용노동부경기지청.율전성당,0,38,49,70,55,40,43,28,43,35,24,25,40,44,27,34,26,15,17,10,8,0,0,0,
7800,호매실동차고지 - 호매실동차고지,25,백선교회,0,23,0,0,37,36,12,25,0,23,16,18,30,0,22,33,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,26,동원고교.해우재입구,0,37,43,70,54,43,19,27,44,24,13,26,34,39,29,14,10,14,8,10,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,27,효행공원(미정차),0,37,43,70,54,43,19,27,44,24,13,26,34,39,29,14,10,14,8,10,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,28,지지대고개(미정차),0,37,43,70,54,43,19,27,44,24,13,26,34,39,29,14,10,14,8,10,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,29,골사그내교차로(미정차),0,37,43,70,54,43,19,27,44,24,13,26,34,39,29,14,10,14,8,10,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,30,의왕톨게이트,0,32,39,70,60,42,40,25,40,35,21,23,40,37,25,27,20,12,14,12,7,0,0,0,
7800,호매실동차고지 - 호매실동차고지,31,의왕터널진입(미정차),0,32,39,70,60,42,40,25,40,35,21,23,40,37,25,27,20,12,14,12,7,0,0,0,
7800,호매실동차고지 - 호매실동차고지,32,학의JC(미정차),0,32,39,70,60,42,40,25,40,35,21,23,40,37,25,27,20,12,14,12,7,0,0,0,
7800,호매실동차고지 - 호매실동차고지,33,과천터널진입(미정차),0,32,39,70,60,42,40,25,40,35,21,23,40,37,25,27,20,12,14,12,7,0,0,0,
7800,호매실동차고지 - 호매실동차고지,34,과천IC(미정차),0,32,39,70,60,42,40,25,40,35,21,23,40,37,25,27,20,12,14,12,7,0,0,0,
7800,호매실동차고지 - 호매실동차고지,35,대공원고가교(미정차),0,32,39,70,60,42,40,25,40,35,21,23,40,37,25,27,20,12,14,12,7,0,0,0,
7800,호매실동차고지 - 호매실동차고지,36,과천동행정복지센터,0,0,35,67,64,32,18,20,23,26,0,22,0,37,22,26,14,7,13,4,6,0,0,0,
7800,호매실동차고지 - 호매실동차고지,37,남태령역(중),0,43,25,65,60,40,36,18,15,29,0,20,10,36,36,25,9,8,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,38,사당역(중),0,0,0,0,10,0,0,0,0,1,9,0,1,0,1,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,39,사당역사거리(미정차),0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,11,24,19,21,24,22,17,27,18,26,43,60,60,52,40,63,43,44,15,0,0,0,
7800,호매실동차고지 - 호매실동차고지,41,남현동(미정차),0,0,11,24,19,21,24,22,17,27,18,26,43,60,60,52,40,63,43,44,15,0,0,0,
7800,호매실동차고지 - 호매실동차고지,42,과천진입(미정차),0,0,11,24,19,21,24,22,17,27,18,26,43,60,60,52,40,63,43,44,15,0,0,0,
7800,호매실동차고지 - 호매실동차고지,43,과천동행정복지센터,0,0,0,25,20,21,15,23,16,22,19,21,44,61,61,40,53,64,0,0,27,0,0,0,
7800,호매실동차고지 - 호매실동차고지,44,대공원고가교(미정차),0,0,0,25,20,21,15,23,16,22,19,21,44,61,61,40,53,64,0,0,27,0,0,0,
7800,호매실동차고지 - 호매실동차고지,45,과천IC(미정차),0,0,0,25,20,21,15,23,16,22,19,21,44,61,61,40,53,64,0,0,27,0,0,0,
7800,호매실동차고지 - 호매실동차고지,46,과천터널진입(미정차),0,0,0,25,20,21,15,23,16,22,19,21,44,61,61,40,53,64,0,0,27,0,0,0,
7800,호매실동차고지 - 호매실동차고지,47,학의JC(미정차),0,0,0,25,20,21,15,23,16,22,19,21,44,61,61,40,53,64,0,0,27,0,0,0,
7800,호매실동차고지 - 호매실동차고지,48,의왕터널진입(미정차),0,0,0,25,20,21,15,23,16,22,19,21,44,61,61,40,53,64,0,0,27,0,0,0,
7800,호매실동차고지 - 호매실동차고지,49,의왕톨게이트,0,0,11,22,27,35,18,28,24,21,28,27,54,48,68,44,57,36,64,39,28,12,0,0,
7800,호매실동차고지 - 호매실동차고지,50,골사그내교차로(미정차),0,0,11,22,27,35,18,28,24,21,28,27,54,48,68,44,57,36,64,39,28,12,0,0,
7800,호매실동차고지 - 호매실동차고지,51,지지대고개(미정차),0,0,11,22,27,35,18,28,24,21,28,27,54,48,68,44,57,36,64,39,28,12,0,0,
7800,호매실동차고지 - 호매실동차고지,52,효행공원(미정차),0,0,11,22,27,35,18,28,24,21,28,27,54,48,68,44,57,36,64,39,28,12,0,0,
7800,호매실동차고지 - 호매실동차고지,53,동원고교.해우재입구,0,0,1,20,22,34,2,27,11,21,13,0,32,49,59,44,39,31,37,43,9,13,0,0,
7800,호매실동차고지 - 호매실동차고지,54,백선교회,0,0,10,18,27,0,0,8,0,13,24,15,26,50,57,39,40,42,0,41,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,55,수원고용노동청,0,0,9,18,26,27,18,23,21,19,25,22,51,49,58,56,42,38,47,40,25,12,0,0,
7800,호매실동차고지 - 호매실동차고지,56,성균관대역,0,0,10,17,23,21,16,17,14,14,20,18,33,43,55,50,44,32,44,31,20,11,0,0,
7800,호매실동차고지 - 호매실동차고지,57,성균관대학교,0,0,8,16,19,16,8,12,8,11,17,17,26,41,37,48,43,30,39,28,18,6,0,0,
7800,호매실동차고지 - 호매실동차고지,58,삼성아파트,0,0,0,12,16,3,5,3,0,10,7,16,25,40,54,47,42,25,38,27,17,0,0,0,
7800,호매실동차고지 - 호매실동차고지,59,삼성1차아파트,0,0,7,16,15,9,6,11,6,9,16,0,32,34,36,45,41,31,35,27,17,7,0,0,
7800,호매실동차고지 - 호매실동차고지,60,구운사거리,0,0,6,0,14,0,3,7,0,9,8,15,13,38,52,44,39,32,25,26,16,0,0,0,
7800,호매실동차고지 - 호매실동차고지,61,농수산물유통센터,0,0,6,14,16,10,5,6,7,10,15,13,31,37,31,34,30,20,33,26,15,6,0,0,
7800,호매실동차고지 - 호매실동차고지,62,구운동하이마트,0,0,5,6,17,9,4,10,8,8,12,15,10,36,47,41,38,21,32,25,6,4,0,0,
7800,호매실동차고지 - 호매실동차고지,63,칠보어울림마을,0,0,0,13,16,5,0,9,0,9,14,10,30,34,42,35,37,19,26,23,14,5,0,0,
7800,호매실동차고지 - 호매실동차고지,64,홈플러스서수원점,0,0,4,8,11,8,3,3,6,8,12,9,30,30,32,28,35,17,24,18,14,2,0,0,
7800,호매실동차고지 - 호매실동차고지,65,금곡동행정복지센터.호매실지구대,0,0,0,7,9,6,4,8,1,8,11,9,27,28,28,26,28,15,20,22,12,3,0,0,
7800,호매실동차고지 - 호매실동차고지,66,가온마을4단지.수원KT소닉붐아레나.서수원칠보체육관,0,0,0,0,8,0,1,0,4,6,10,6,13,18,27,24,27,12,14,13,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,67,칠보고교.칠보중.중촌초교,0,0,3,6,7,5,0,7,5,4,7,6,24,14,27,21,23,10,13,21,9,1,0,0,
7800,호매실동차고지 - 호매실동차고지,68,모아미래도아파트.호매실역서희스타힐스,0,0,0,7,5,3,3,6,4,4,8,7,19,13,22,17,18,12,17,17,8,0,0,0,
7800,호매실동차고지 - 호매실동차고지,69,금곡LG2.3단지.모아미래도아파트,0,0,0,6,10,5,4,1,2,2,7,6,14,7,15,12,13,11,9,12,5,1,0,0,
7800,호매실동차고지 - 호매실동차고지,70,금곡LG1단지.와이씨티6단지,0,0,0,8,10,2,5,2,2,2,6,0,4,8,9,10,10,5,8,11,4,0,0,0,
7800,호매실동차고지 - 호매실동차고지,71,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,0,0,1,3,4,2,0,0,0,5,4,12,4,7,6,8,9,4,10,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,72,한양수자인파크원아파트.금호초등학교,0,0,2,2,8,1,0,5,0,1,4,3,5,7,6,7,6,4,7,7,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,73,수원시보훈회관.호매실마을13단지,0,0,0,0,0,0,4,0,1,0,4,2,10,6,5,6,7,3,6,6,1,0,0,0,
7800,호매실동차고지 - 호매실동차고지,74,호매실마을14단지.장애인종합복지관,0,0,0,0,2,0,2,4,0,0,2,2,1,4,4,5,3,2,5,5,1,2,0,0,
7800,호매실동차고지 - 호매실동차고지,75,능실초등학교.힐스테이트호매실,0,0,0,0,4,2,0,0,0,0,3,2,2,7,3,4,4,2,1,2,0,1,0,0,
7800,호매실동차고지 - 호매실동차고지,76,호매실스위첸19단지.능실마을22단지,0,0,0,0,1,1,1,3,1,0,3,0,1,3,1,1,3,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,77,호매실엔루체,0,0,0,1,3,2,3,0,0,0,2,0,1,2,0,3,1,0,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,78,호매실스타힐스.수원여대입구,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,79,호매실동차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
