노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,0,0,2,2,0,0,0,0,1,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,0,1,2,1,1,0,2,4,1,3,3,2,4,0,2,1,1,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,2,3,2,1,1,0,5,3,5,4,0,6,3,6,4,2,2,2,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,3,4,4,3,2,2,2,2,1,3,0,2,6,6,2,2,0,2,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,4,5,6,7,2,3,3,6,2,0,4,5,4,7,2,0,2,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,2,8,8,8,6,3,3,3,3,5,1,7,3,0,5,0,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,6,12,12,17,7,6,4,9,4,4,6,4,7,7,6,0,2,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,6,12,12,11,4,5,3,5,6,6,0,8,6,2,6,2,0,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,8,20,14,19,8,8,5,10,5,3,2,9,5,0,6,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,9,16,23,12,9,10,4,11,6,0,4,10,3,3,1,0,0,4,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,14,21,30,21,14,12,8,8,3,6,3,15,9,7,1,3,0,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,18,38,41,24,18,19,9,9,6,8,7,9,9,7,5,0,1,0,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,20,41,43,29,22,21,12,11,5,9,8,14,9,7,0,4,3,3,1,1,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,22,44,30,30,12,8,7,7,7,7,4,11,10,8,5,5,2,4,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,23,34,37,33,23,22,13,12,6,10,5,15,0,6,4,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,27,41,65,38,27,24,10,14,9,11,7,17,14,10,5,5,4,3,5,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,32,44,70,39,29,19,14,9,11,7,9,19,16,13,6,7,5,4,2,4,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,20,47,44,41,31,26,15,15,13,9,11,21,17,14,3,2,2,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,35,50,50,45,34,27,16,14,11,13,11,22,18,15,6,7,0,5,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,25,51,54,48,35,26,17,16,14,10,10,25,17,16,0,5,0,5,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,20,서수원터미널.이마트,0,36,30,0,50,37,13,13,12,12,12,12,15,20,15,5,9,3,6,0,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,21,구운사거리,0,0,38,53,53,36,25,0,11,0,0,0,11,13,9,4,4,2,6,0,4,0,0,0,
7800,호매실동차고지 - 호매실동차고지,22,삼성아파트,0,23,54,64,56,35,30,18,17,15,14,17,30,21,20,6,13,4,7,4,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,23,성균관대학교,0,39,58,71,56,39,35,24,24,22,19,22,46,31,30,53,27,23,18,21,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,24,성균관대역.고용노동부경기지청.율전성당,0,43,62,70,70,44,33,27,27,26,20,24,48,29,26,33,27,24,19,12,4,0,0,0,
7800,호매실동차고지 - 호매실동차고지,25,백선교회,0,0,40,0,68,35,33,0,23,0,18,0,27,23,15,0,26,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,26,동원고교.해우재입구,0,0,44,70,44,44,32,27,30,27,21,21,51,27,26,51,0,16,16,12,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,27,효행공원(미정차),0,0,44,70,44,44,32,27,30,27,21,21,51,27,26,51,0,16,16,12,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,28,지지대고개(미정차),0,0,44,70,44,44,32,27,30,27,21,21,51,27,26,51,0,16,16,12,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,29,골사그내교차로(미정차),0,0,44,70,44,44,32,27,30,27,21,21,51,27,26,51,0,16,16,12,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,30,의왕톨게이트,0,42,42,67,63,44,31,24,27,25,19,22,50,23,23,36,20,21,17,17,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,31,의왕터널진입(미정차),0,42,42,67,63,44,31,24,27,25,19,22,50,23,23,36,20,21,17,17,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,32,학의JC(미정차),0,42,42,67,63,44,31,24,27,25,19,22,50,23,23,36,20,21,17,17,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,33,과천터널진입(미정차),0,42,42,67,63,44,31,24,27,25,19,22,50,23,23,36,20,21,17,17,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,34,과천IC(미정차),0,42,42,67,63,44,31,24,27,25,19,22,50,23,23,36,20,21,17,17,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,35,대공원고가교(미정차),0,42,42,67,63,44,31,24,27,25,19,22,50,23,23,36,20,21,17,17,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,36,과천동행정복지센터,0,31,41,58,65,62,42,23,19,26,23,21,33,22,21,5,19,15,0,11,12,0,0,0,
7800,호매실동차고지 - 호매실동차고지,37,남태령역(중),0,37,40,58,59,41,41,22,24,24,22,19,0,19,22,27,17,10,0,0,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,38,사당역(중),0,0,0,51,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,39,사당역사거리(미정차),0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,0,17,19,27,19,22,19,24,16,21,25,47,64,60,44,57,60,44,40,19,0,0,0,
7800,호매실동차고지 - 호매실동차고지,41,남현동(미정차),0,0,17,19,27,19,22,19,24,16,21,25,47,64,60,44,57,60,44,40,19,0,0,0,
7800,호매실동차고지 - 호매실동차고지,42,과천진입(미정차),0,0,17,19,27,19,22,19,24,16,21,25,47,64,60,44,57,60,44,40,19,0,0,0,
7800,호매실동차고지 - 호매실동차고지,43,과천동행정복지센터,0,0,0,12,25,21,23,18,13,0,25,20,48,45,65,25,43,61,19,28,12,0,0,0,
7800,호매실동차고지 - 호매실동차고지,44,대공원고가교(미정차),0,0,0,12,25,21,23,18,13,0,25,20,48,45,65,25,43,61,19,28,12,0,0,0,
7800,호매실동차고지 - 호매실동차고지,45,과천IC(미정차),0,0,0,12,25,21,23,18,13,0,25,20,48,45,65,25,43,61,19,28,12,0,0,0,
7800,호매실동차고지 - 호매실동차고지,46,과천터널진입(미정차),0,0,0,12,25,21,23,18,13,0,25,20,48,45,65,25,43,61,19,28,12,0,0,0,
7800,호매실동차고지 - 호매실동차고지,47,학의JC(미정차),0,0,0,12,25,21,23,18,13,0,25,20,48,45,65,25,43,61,19,28,12,0,0,0,
7800,호매실동차고지 - 호매실동차고지,48,의왕터널진입(미정차),0,0,0,12,25,21,23,18,13,0,25,20,48,45,65,25,43,61,19,28,12,0,0,0,
7800,호매실동차고지 - 호매실동차고지,49,의왕톨게이트,0,0,10,24,35,30,30,22,26,16,26,30,53,50,69,60,50,65,60,43,29,0,0,0,
7800,호매실동차고지 - 호매실동차고지,50,골사그내교차로(미정차),0,0,10,24,35,30,30,22,26,16,26,30,53,50,69,60,50,65,60,43,29,0,0,0,
7800,호매실동차고지 - 호매실동차고지,51,지지대고개(미정차),0,0,10,24,35,30,30,22,26,16,26,30,53,50,69,60,50,65,60,43,29,0,0,0,
7800,호매실동차고지 - 호매실동차고지,52,효행공원(미정차),0,0,10,24,35,30,30,22,26,16,26,30,53,50,69,60,50,65,60,43,29,0,0,0,
7800,호매실동차고지 - 호매실동차고지,53,동원고교.해우재입구,0,0,0,19,34,27,29,15,21,14,0,29,54,51,44,40,28,43,39,32,27,0,0,0,
7800,호매실동차고지 - 호매실동차고지,54,백선교회,0,0,9,19,0,0,0,17,0,0,0,0,53,0,67,43,0,0,0,35,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,55,수원고용노동청,0,0,11,18,34,28,26,20,24,20,24,27,47,45,55,52,41,56,52,40,23,9,0,0,
7800,호매실동차고지 - 호매실동차고지,56,성균관대역,0,0,11,16,21,23,19,14,12,14,20,22,42,39,54,57,32,46,49,35,21,6,0,0,
7800,호매실동차고지 - 호매실동차고지,57,성균관대학교,0,0,5,15,16,21,10,10,8,11,14,20,40,35,52,43,32,42,46,31,20,0,0,0,
7800,호매실동차고지 - 호매실동차고지,58,삼성아파트,0,0,10,0,0,18,0,0,5,0,12,0,38,31,41,42,30,38,45,24,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,59,삼성1차아파트,0,0,9,15,13,12,7,7,6,8,11,19,37,34,52,57,33,37,44,28,16,2,0,0,
7800,호매실동차고지 - 호매실동차고지,60,구운사거리,0,0,8,0,0,4,8,0,4,0,12,10,35,0,51,40,29,34,11,17,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,61,농수산물유통센터,0,0,3,12,13,11,3,8,4,4,14,14,33,30,49,54,32,13,23,27,15,0,0,0,
7800,호매실동차고지 - 호매실동차고지,62,구운동하이마트,0,0,8,12,10,10,2,5,5,10,13,6,21,29,45,49,30,32,38,24,13,5,0,0,
7800,호매실동차고지 - 호매실동차고지,63,칠보어울림마을,0,0,1,1,11,9,2,5,5,8,12,10,28,26,42,40,25,28,35,22,0,7,0,0,
7800,호매실동차고지 - 호매실동차고지,64,홈플러스서수원점,0,0,0,10,9,7,2,1,5,6,9,13,26,20,38,31,23,25,31,20,11,4,0,0,
7800,호매실동차고지 - 호매실동차고지,65,금곡동행정복지센터.호매실지구대,0,0,4,8,8,7,3,0,3,6,7,12,25,17,28,26,22,22,27,18,7,8,0,0,
7800,호매실동차고지 - 호매실동차고지,66,가온마을4단지.수원KT소닉붐아레나.서수원칠보체육관,0,0,0,0,7,0,0,0,1,0,0,4,15,16,20,24,19,12,26,16,10,0,0,0,
7800,호매실동차고지 - 호매실동차고지,67,칠보고교.칠보중.중촌초교,0,0,3,1,9,7,2,7,4,2,7,10,24,16,19,23,20,20,24,14,8,0,0,0,
7800,호매실동차고지 - 호매실동차고지,68,모아미래도아파트.호매실역서희스타힐스,0,0,0,9,6,5,5,3,4,4,6,8,16,14,18,14,15,15,18,8,8,7,0,0,
7800,호매실동차고지 - 호매실동차고지,69,금곡LG2.3단지.모아미래도아파트,0,0,2,7,9,8,2,6,4,3,5,6,11,13,11,10,13,10,11,11,6,5,0,0,
7800,호매실동차고지 - 호매실동차고지,70,금곡LG1단지.와이씨티6단지,0,0,0,6,10,4,3,0,2,2,3,4,10,11,9,8,11,7,8,9,4,4,0,0,
7800,호매실동차고지 - 호매실동차고지,71,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,0,0,2,1,0,0,4,0,2,3,2,6,8,6,7,8,5,6,8,3,5,0,0,
7800,호매실동차고지 - 호매실동차고지,72,한양수자인파크원아파트.금호초등학교,0,0,0,0,10,2,0,0,0,3,2,3,5,7,6,6,6,6,5,8,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,73,수원시보훈회관.호매실마을13단지,0,0,0,0,5,0,0,0,1,1,1,2,1,4,4,4,8,4,4,6,2,4,0,0,
7800,호매실동차고지 - 호매실동차고지,74,호매실마을14단지.장애인종합복지관,0,0,0,0,3,7,0,2,0,0,0,0,4,6,2,2,6,1,3,4,1,2,0,0,
7800,호매실동차고지 - 호매실동차고지,75,능실초등학교.힐스테이트호매실,0,0,0,5,9,0,0,0,1,2,0,1,4,4,2,3,5,3,3,2,1,1,0,0,
7800,호매실동차고지 - 호매실동차고지,76,호매실스위첸19단지.능실마을22단지,0,0,0,1,0,6,1,0,0,1,0,3,2,1,1,2,3,1,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,77,호매실엔루체,0,0,1,2,5,5,1,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,78,호매실스타힐스.수원여대입구,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,79,호매실동차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
