노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,0,1,2,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,0,0,1,1,1,2,0,1,1,0,1,1,0,2,1,3,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,2,1,2,3,3,3,1,2,1,1,2,2,5,6,5,2,4,0,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,2,3,4,4,5,4,2,3,2,2,0,1,5,5,2,0,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,5,6,5,6,4,4,1,3,2,2,3,3,4,3,2,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,6,10,8,8,6,5,5,4,4,2,4,4,0,6,4,1,2,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,9,11,12,12,6,0,1,5,3,3,4,0,6,7,6,0,0,2,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,10,12,14,13,10,5,6,6,2,5,2,7,6,1,0,2,2,1,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,8,20,16,9,7,6,3,6,0,6,3,7,0,8,0,1,3,0,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,11,21,19,14,8,6,6,7,0,9,0,0,8,7,5,2,0,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,14,26,22,16,11,7,4,9,4,4,4,3,9,8,2,3,3,0,0,1,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,18,36,34,23,14,15,9,10,7,10,5,9,11,12,4,2,4,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,20,37,38,26,18,19,11,13,7,7,6,11,13,7,3,3,2,3,1,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,22,41,39,28,19,10,7,8,9,12,4,14,14,13,3,1,6,4,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,24,42,42,31,20,20,13,13,9,13,5,15,15,8,3,3,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,32,44,44,34,21,22,16,15,10,11,7,16,16,13,6,4,7,0,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,38,33,41,40,23,24,19,17,12,13,10,17,18,15,9,4,10,7,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,39,39,42,34,30,25,20,18,13,15,11,11,15,0,5,4,0,4,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,42,43,46,38,27,27,26,19,15,12,11,18,20,17,7,3,4,8,6,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,43,40,49,42,26,26,18,28,14,14,10,12,17,17,4,3,5,0,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,20,서수원터미널.이마트,0,44,28,50,43,29,26,19,29,15,13,12,19,20,9,15,6,11,7,0,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,21,구운사거리,0,0,44,45,37,30,27,15,20,16,0,0,0,10,11,0,5,2,7,0,6,0,0,0,
7800,호매실동차고지 - 호매실동차고지,22,삼성아파트,0,19,47,55,49,31,28,16,31,16,15,14,15,25,26,17,6,11,8,7,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,23,성균관대학교,0,24,53,64,61,37,32,20,36,23,24,21,24,40,35,21,11,11,17,10,6,0,0,0,
7800,호매실동차고지 - 호매실동차고지,24,성균관대역.고용노동부경기지청.율전성당,0,36,58,69,68,45,35,23,37,25,29,20,30,43,35,21,11,12,20,11,8,0,0,0,
7800,호매실동차고지 - 호매실동차고지,25,백선교회,0,0,40,38,33,0,34,0,0,14,0,21,26,0,36,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,26,동원고교.해우재입구,0,43,57,64,68,51,31,27,36,25,30,17,31,44,37,20,15,0,19,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,27,효행공원(미정차),0,43,57,64,68,51,31,27,36,25,30,17,31,44,37,20,15,0,19,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,28,지지대고개(미정차),0,43,57,64,68,51,31,27,36,25,30,17,31,44,37,20,15,0,19,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,29,골사그내교차로(미정차),0,43,57,64,68,51,31,27,36,25,30,17,31,44,37,20,15,0,19,5,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,30,의왕톨게이트,0,39,55,66,58,48,37,22,34,23,26,23,24,41,33,15,14,8,15,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,31,의왕터널진입(미정차),0,39,55,66,58,48,37,22,34,23,26,23,24,41,33,15,14,8,15,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,32,학의JC(미정차),0,39,55,66,58,48,37,22,34,23,26,23,24,41,33,15,14,8,15,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,33,과천터널진입(미정차),0,39,55,66,58,48,37,22,34,23,26,23,24,41,33,15,14,8,15,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,34,과천IC(미정차),0,39,55,66,58,48,37,22,34,23,26,23,24,41,33,15,14,8,15,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,35,대공원고가교(미정차),0,39,55,66,58,48,37,22,34,23,26,23,24,41,33,15,14,8,15,8,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,36,과천동행정복지센터,0,38,37,64,65,36,43,33,32,21,25,14,19,40,21,14,6,0,0,9,5,0,0,0,
7800,호매실동차고지 - 호매실동차고지,37,남태령역(중),0,37,36,60,62,37,42,31,31,21,20,22,14,39,31,11,0,8,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,38,사당역(중),0,0,0,8,0,0,0,0,0,1,0,0,0,13,1,0,0,1,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,39,사당역사거리(미정차),0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,40,사당역9번출구앞,0,3,9,12,25,15,16,17,16,23,21,47,58,70,68,69,67,47,49,44,21,0,0,0,
7800,호매실동차고지 - 호매실동차고지,41,남현동(미정차),0,3,9,12,25,15,16,17,16,23,21,47,58,70,68,69,67,47,49,44,21,0,0,0,
7800,호매실동차고지 - 호매실동차고지,42,과천진입(미정차),0,3,9,12,25,15,16,17,16,23,21,47,58,70,68,69,67,47,49,44,21,0,0,0,
7800,호매실동차고지 - 호매실동차고지,43,과천동행정복지센터,0,0,5,11,29,16,10,9,14,14,19,22,36,47,47,0,42,48,36,34,0,20,0,0,
7800,호매실동차고지 - 호매실동차고지,44,대공원고가교(미정차),0,0,5,11,29,16,10,9,14,14,19,22,36,47,47,0,42,48,36,34,0,20,0,0,
7800,호매실동차고지 - 호매실동차고지,45,과천IC(미정차),0,0,5,11,29,16,10,9,14,14,19,22,36,47,47,0,42,48,36,34,0,20,0,0,
7800,호매실동차고지 - 호매실동차고지,46,과천터널진입(미정차),0,0,5,11,29,16,10,9,14,14,19,22,36,47,47,0,42,48,36,34,0,20,0,0,
7800,호매실동차고지 - 호매실동차고지,47,학의JC(미정차),0,0,5,11,29,16,10,9,14,14,19,22,36,47,47,0,42,48,36,34,0,20,0,0,
7800,호매실동차고지 - 호매실동차고지,48,의왕터널진입(미정차),0,0,5,11,29,16,10,9,14,14,19,22,36,47,47,0,42,48,36,34,0,20,0,0,
7800,호매실동차고지 - 호매실동차고지,49,의왕톨게이트,0,0,9,15,34,24,13,20,15,25,25,33,50,62,69,44,44,51,50,47,24,19,0,0,
7800,호매실동차고지 - 호매실동차고지,50,골사그내교차로(미정차),0,0,9,15,34,24,13,20,15,25,25,33,50,62,69,44,44,51,50,47,24,19,0,0,
7800,호매실동차고지 - 호매실동차고지,51,지지대고개(미정차),0,0,9,15,34,24,13,20,15,25,25,33,50,62,69,44,44,51,50,47,24,19,0,0,
7800,호매실동차고지 - 호매실동차고지,52,효행공원(미정차),0,0,9,15,34,24,13,20,15,25,25,33,50,62,69,44,44,51,50,47,24,19,0,0,
7800,호매실동차고지 - 호매실동차고지,53,동원고교.해우재입구,0,0,8,14,33,24,0,7,6,24,22,25,44,64,48,40,0,37,51,29,14,0,0,0,
7800,호매실동차고지 - 호매실동차고지,54,백선교회,0,0,9,13,7,0,9,0,10,23,0,18,36,63,43,0,0,39,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,55,수원고용노동청,0,0,7,13,31,21,11,19,11,24,24,30,47,52,60,42,57,55,36,41,21,16,0,0,
7800,호매실동차고지 - 호매실동차고지,56,성균관대역,0,0,6,17,22,15,13,12,10,19,23,23,42,42,55,61,50,50,34,37,19,14,0,0,
7800,호매실동차고지 - 호매실동차고지,57,성균관대학교,0,0,5,7,19,14,11,10,7,16,21,21,38,41,53,59,51,49,30,34,14,10,0,0,
7800,호매실동차고지 - 호매실동차고지,58,삼성아파트,0,0,7,7,12,0,2,8,5,10,11,15,34,26,50,58,50,46,29,29,12,0,0,0,
7800,호매실동차고지 - 호매실동차고지,59,삼성1차아파트,0,0,4,8,15,9,10,8,2,8,14,18,37,39,49,55,47,31,28,26,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,60,구운사거리,0,0,5,7,0,3,1,0,0,0,9,13,11,14,48,39,45,45,27,25,0,5,0,0,
7800,호매실동차고지 - 호매실동차고지,61,농수산물유통센터,0,0,4,6,14,7,9,8,8,15,20,16,37,34,41,54,44,42,22,32,14,9,0,0,
7800,호매실동차고지 - 호매실동차고지,62,구운동하이마트,0,0,5,2,13,2,7,7,3,12,17,3,35,32,44,46,43,41,26,27,14,5,0,0,
7800,호매실동차고지 - 호매실동차고지,63,칠보어울림마을,0,0,4,5,12,3,6,0,2,11,16,16,33,27,40,41,34,36,22,24,12,7,0,0,
7800,호매실동차고지 - 호매실동차고지,64,홈플러스서수원점,0,0,0,6,13,5,0,7,5,6,14,12,28,29,33,36,32,33,23,23,11,6,0,0,
7800,호매실동차고지 - 호매실동차고지,65,금곡동행정복지센터.호매실지구대,0,0,3,2,15,4,5,6,5,7,10,11,24,27,27,29,29,29,21,21,8,4,0,0,
7800,호매실동차고지 - 호매실동차고지,66,가온마을4단지.수원KT소닉붐아레나.서수원칠보체육관,0,0,0,0,9,0,4,5,0,6,0,9,0,15,26,27,15,25,20,17,7,0,0,0,
