노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
7800,호매실동차고지 - 호매실동차고지,0,호매실동차고지,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,1,호매실스타힐스.수원여대입구,0,1,2,1,2,0,0,1,1,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,2,호매실엔루체,0,2,2,2,4,1,1,2,3,1,1,1,2,6,3,2,1,2,1,1,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,3,호매실스위첸19단지.능실마을22단지,0,2,2,5,6,4,2,2,3,2,2,0,1,9,3,2,3,1,2,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,4,능실초등학교.힐스테이트호매실,0,4,5,7,11,5,3,3,4,3,4,1,3,8,4,1,0,4,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,5,호매실마을14단지.장애인종합복지관,0,4,7,11,13,4,1,3,5,3,1,2,4,3,4,0,2,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,6,호매실마을13단지.수원시보훈회관,0,5,10,15,16,8,2,4,0,4,0,3,5,10,3,0,0,0,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,7,수원은혜교회.한양수자인파크원아파트,0,6,7,18,13,4,0,5,4,4,5,3,3,7,6,0,2,1,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,8,한양수자인파크원아파트.자목마을입구,0,6,14,19,15,10,4,6,2,5,1,0,11,5,7,0,0,1,1,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,9,경기도건설본부.경기도동물위생시험소.칠보마을7단지,0,7,12,19,13,12,4,9,7,2,0,4,5,8,0,0,1,4,3,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,10,와이씨티6단지.금곡LG1단지,0,11,17,29,16,15,7,10,7,6,6,4,12,11,9,3,2,2,0,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,11,호매실역서희스타힐스.금곡LG2단지,0,16,33,44,24,20,6,11,10,7,8,5,14,14,8,4,3,3,4,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,12,호매실역서희스타힐스.모아미래도아파트,0,18,26,43,34,17,8,12,12,9,9,7,15,8,9,2,5,5,5,3,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,13,칠보중.칠보고교.중촌초교,0,20,28,40,35,16,4,13,13,6,13,8,16,15,13,3,3,2,4,0,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,14,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,0,21,30,42,39,18,11,14,16,12,7,10,11,16,6,0,0,4,0,4,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,15,금곡동행정복지센터.호매실지구대,0,24,33,44,44,24,13,16,13,14,7,9,24,12,14,5,4,5,3,4,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,16,홈플러스서수원점,0,28,36,41,47,28,16,19,18,16,9,14,26,18,16,10,5,8,4,2,0,0,0,0,
7800,호매실동차고지 - 호매실동차고지,17,칠보어울림마을,0,16,35,48,53,35,21,20,20,13,14,16,27,19,17,4,4,5,5,3,3,0,0,0,
7800,호매실동차고지 - 호매실동차고지,18,구운동하이마트,0,30,40,57,58,33,22,15,21,17,15,19,29,20,20,8,3,7,2,5,2,0,0,0,
7800,호매실동차고지 - 호매실동차고지,19,엠코타운아파트,0,33,42,61,64,37,19,16,23,19,11,0,29,17,5,9,6,6,7,0,0,0,0,0,
